@relation text_classification
@attribute index numeric
@attribute fan_count numeric
@attribute talking_about_count numeric
@attribute were_here_count numeric
@attribute checkins numeric
@attribute total_posts numeric
@attribute total_likes numeric
@attribute total_comments numeric
@attribute total_shares numeric

@attribute category? {0,1,2,3,4,5}
@data
0,69,1,27,27,9,24,1,0,0
1,129,25,8215,8215,1,2,0,0,1
2,302,11,2706,360,56,28,2,12,2
3,36,1,954,954,0,0,0,0,0
4,82,0,1410,1410,0,0,0,0,2
5,133,24,2041,2041,0,0,0,0,2
6,1118,25,1381,1381,2,0,0,0,2
7,12756,631,14665,14665,20,462,17,53,0
8,211,16,94,94,24,89,14,0,2
9,50,0,751,751,0,0,0,0,2
10,290,16,2784,2784,0,0,0,0,2
11,15,3,101,101,1,0,0,0,0
12,14,3,213,213,0,0,0,0,0
13,43,10,390,390,0,0,0,0,0
14,304,105,4294,4294,0,0,0,0,0
15,72,12,1240,1240,0,0,0,0,0
16,15,0,196,196,0,0,0,0,2
17,49,1,818,818,0,0,0,0,0
18,103,2,623,623,0,0,0,0,0
19,10,0,143,143,0,0,0,0,0
20,87,3,272,272,13,4,1,0,0
21,554,80,9393,9393,5,17,0,0,2
22,50,0,1,1,1,0,0,0,0
23,174,54,2588,2588,0,0,0,0,0
24,435,11,408,408,21,12,1,0,0
25,55,20,1551,1551,0,0,0,0,0
26,54,11,1352,1352,0,0,0,0,0
27,50,0,1260,1260,0,0,0,0,0
28,57,6,594,594,0,0,0,0,0
29,42,10,690,690,0,0,0,0,2
30,5,0,51,51,0,0,0,0,0
31,4,0,1244,1244,0,0,0,0,0
32,4516,326,14523,14523,15,305,23,18,0
33,49,58,1714,1714,0,0,0,0,0
34,76,1,967,967,0,0,0,0,0
35,228,61,4543,4543,6,1,0,0,0
36,1067,50,6271,6271,0,0,0,0,2
37,241,20,83,83,2,0,0,0,0
38,9,0,344,344,0,0,0,0,0
39,748,20,7015,7015,0,0,0,0,2
40,39,2,543,543,0,0,0,0,0
41,58,3,946,946,0,0,0,0,0
42,250,15,1257,1257,4,0,1,0,0
43,26,0,11,11,1,0,0,0,0
44,104,0,812,812,0,0,0,0,2
45,34,2,790,790,1,50,5,0,3
46,493,51,123,123,36,268,2,3,0
47,633,22,0,112,4,2,0,1,0
48,121,14,0,1,16,23,1,0,0
49,134,28,3555,3555,0,0,0,0,0
50,99,4,27,27,64,41,6,0,0
51,36,1,83,83,10,12,1,0,0
52,158,18,545,545,8,5,0,0,0
53,0,0,0,0,0,0,0,0,2
54,37,13,416,416,0,0,0,0,0
55,25,3,223,223,0,0,0,0,0
56,352,5,134,134,35,60,4,0,0
57,66,0,2802,2802,0,0,0,0,2
58,13,0,135,135,0,0,0,0,2
59,52,11,369,369,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0
61,231,18,0,31,8,33,9,0,0
62,3137,103,4655,4655,15,76,14,5,2
63,146,24,2161,2161,1,1,0,0,0
64,3,2,241,241,0,0,0,0,0
65,163,25,2710,2710,0,0,0,0,0
66,8,0,71,71,0,0,0,0,0
67,36,8,1302,1302,0,0,0,0,0
68,3580,205,18907,18907,24,168,5,6,0
69,284,1,8,8,16,37,5,51,0
70,15,16,106,106,0,0,0,0,0
71,27,0,38,38,0,0,0,0,0
72,38,1,1365,1365,0,0,0,0,0
73,33,2,2754,2754,0,0,0,0,2
74,106,24,2158,2158,1,3,4,0,0
75,668,5,383,383,65,410,22,19,2
76,261,3,0,57,16,28,1,1,2
77,24,7,384,384,0,0,0,0,0
78,3273,99,4458,4458,22,151,21,0,2
79,93,0,325,325,0,0,0,0,0
80,115,48,860,860,0,0,0,0,0
81,483,44,2848,2848,2,2,0,0,0
82,73,7,1339,1339,0,0,0,0,0
83,0,0,0,0,0,0,0,0,3
84,68,15,840,840,1,1,0,0,0
85,44,4,200,200,0,0,0,0,0
86,147,51,4357,4357,1,0,0,0,0
87,75,0,26,26,24,97,14,0,2
88,235,0,79,79,25,68,19,1,2
89,208,2,35,35,2,2,0,1,0
90,223,59,3983,3983,0,0,0,0,0
91,28,2,166,166,0,0,0,0,0
92,54,2,322,322,0,0,0,0,2
93,16,0,14,14,0,0,0,0,2
94,25,0,2,2,0,0,0,0,0
95,148,19,14,14,46,334,91,1,2
96,13,4,122,122,0,0,0,0,0
97,643,12,1310,1310,2,0,0,0,0
98,1326,40,320,320,84,303,39,0,0
99,8735,2789,49702,49702,538,8172,735,710,0
100,69,3,146,146,3,4,0,0,0
