@relation text_classification
@attribute cover_present numeric
@attribute fan_count numeric
@attribute talking_about_count numeric
@attribute were_here_count numeric
@attribute checkins numeric
@attribute total_posts numeric
@attribute total_likes numeric
@attribute total_comments numeric
@attribute total_shares numeric
@attribute total_posts_by_owner numeric
@attribute total_photos numeric
@attribute total_words_about numeric
@attribute avg_words_post numeric
@attribute avg_words_comment numeric
@attribute mean_posts_month numeric
@attribute mean_comments_month numeric
@attribute category? {0,1}
@data
0,20,1,593,593,0,0,0,0,0,0,0,0,0,0,0,1
0,1831,42,2178,2178,0,0,0,0,0,0,0,0,0,0,0,-1
1,204,89,2704,2704,3,8,0,0,0,2,0,29.67,0,0.19,0.06,1
0,36,1,954,954,0,0,0,0,0,0,0,0,0,0,0,0
1,214,16,0,1136,6,4,0,0,0,4,0,10.00,0,0.31,0.31,1
0,20,1,410,410,0,0,0,0,0,0,0,0,0,0,0,0
1,1650,2,139,139,4,26,3,0,0,1,0,19.75,1.00,0.18,0.13,1
1,490,65,50,50,49,68,2,1,0,39,0,33.22,21.00,2.01,1.73,1
1,12756,631,14665,14665,20,462,17,53,0,13,0,25.00,1.18,1.04,1.04,1
0,32,0,576,576,0,0,0,0,0,0,0,0,0,0,0,0
0,290,16,2784,2784,0,0,0,0,0,0,0,0,0,0,0,-1
0,15,3,101,101,1,0,0,0,0,0,0,4.00,0,0.05,0.05,0
0,14,3,213,213,0,0,0,0,0,0,0,0,0,0,0,0
1,43,10,390,390,0,0,0,0,0,0,0,0,0,0,0,1
0,133,43,2392,2392,0,0,0,0,0,0,0,0,0,0,0,0
0,304,105,4294,4294,0,0,0,0,0,0,0,0,0,0,0,1
1,69,1,27,27,9,24,1,0,0,6,0,31.33,9.00,0.37,0.37,1
0,7,0,204,204,0,0,0,0,0,0,0,0,0,0,0,1
0,72,12,1240,1240,0,0,0,0,0,0,0,0,0,0,0,1
0,49,1,818,818,0,0,0,0,0,0,0,0,0,0,0,0
0,16,0,188,188,0,0,0,0,0,0,0,0,0,0,0,1
0,319,72,6599,6599,0,0,0,0,0,0,0,0,0,0,0,1
0,29,12,465,465,0,0,0,0,0,0,0,0,0,0,0,1
0,103,2,623,623,0,0,0,0,0,0,0,0,0,0,0,1
1,10,0,143,143,0,0,0,0,0,0,0,0,0,0,0,1
0,3,0,130,130,0,0,0,0,0,0,0,0,0,0,0,0
0,87,3,272,272,13,4,1,0,0,9,0,6.08,9.00,0.80,0.56,1
0,8,0,93,93,0,0,0,0,0,0,0,0,0,0,0,1
0,43,6,526,526,0,0,0,0,0,0,0,0,0,0,0,0
0,50,0,1,1,1,0,0,0,0,0,0,10.00,0,0.05,0.05,0
0,174,54,2588,2588,0,0,0,0,0,0,0,0,0,0,0,1
1,662,16,1473,1473,1,7,0,0,0,1,0,1.00,0,0.05,0.05,1
1,435,11,408,408,21,12,1,0,0,16,0,24.95,21.00,0.99,0.99,1
1,240,17,1151,1151,11,0,11,0,0,0,0,13.36,1.00,1.36,1.36,1
0,93,2,1755,1755,0,0,0,0,0,0,0,0,0,0,0,0
